0,1,2,3,4,5,6,7,8,9,10,11,12,13
81.5,15,3.5,105,1,750,12,185.6,70,91.224,40,1.33,640.1,160
81.5,15,3.5,105,5,750,12,163.9,75,91.224,40,1.33,640.1,160
88,2.5,9.5,105,1,760,16,192.2,83.45,26.982,13,1.61,577.5,118
88,2.5,9.5,105,2,760,16,190,91.57,26.982,13,1.61,577.5,118
88,2.5,9.5,105,3,760,16,188.3,86.56,26.982,13,1.61,577.5,118
90,5,5,101,0.4,750,10,237,87,10.81,5,2.04,800.6,87
90,5,5,101,1,750,10,237,91,10.81,5,2.04,800.6,87
100,0,0,105,5,800,12,174,93.7,51.996,24,1.66,652.9,128
100,0,0,105,10,800,12,185,95.1,51.996,24,1.66,652.9,128
100,0,0,105,15,800,12,165,90.9,51.996,24,1.66,652.9,128
100,0,0,105,20,800,12,155,90.3,51.996,24,1.66,652.9,128
80,1,1,105,0.5,750,12,179.2,97.8,140.116,58,1.12,534.4,182
80,1,1,105,1,750,12,196.8,99.2,140.116,58,1.12,534.4,182
80,1,1,105,2,750,12,199.1,94.9,140.116,58,1.12,534.4,182
89.7,5,5,101,3,750,10,224.3,92.9,118.71,50,1.96,708.6,140
90,0,10,105,3,750,12,195.1,78.5,47.867,22,1.54,658.8,147
90,0,10,105,5,750,12,194.8,97.9,47.867,22,1.54,658.8,147
90,0,10,105,7,750,12,191.2,95.1,47.867,22,1.54,658.8,147
90,0,10,105,9,750,12,189.5,97.9,47.867,22,1.54,658.8,147
60,20,20,108,0.5,870,15,160,91,92.90638,41,1.6,652.1,146
60,20,20,108,1,870,15,160.9,91,92.90638,41,1.6,652.1,146
60,20,20,108,2,870,15,183.3,94,92.90638,41,1.6,652.1,146
80,10,10,105,1.5,750,10,195,88,24.305,12,1.31,737.7,145
80,10,10,105,1.5,750,10,198,90,26.982,13,1.61,577.5,118
80,10,10,105,1.5,750,10,190,85,28.0855,14,1.9,786.5,110
80,10,10,105,1.5,750,10,189,86,47.867,22,1.54,658.8,147
80,10,10,105,1.5,750,10,193,92,91.224,40,1.33,640.1,160
80,10,10,105,1.5,750,10,200,94,180.94788,73,1.5,761,146
94,0,6,101,0.02,680,15,230,91.3,24.305,12,1.31,737.7,145
92,3.6,4.4,101,1,750,10,215,89.3,26.982,13,1.61,577.5,118
92,3.6,4.4,101,1,750,10,215,98.6,92.90638,41,1.6,652.1,146
90,10,0,105,0.5,770,20,195,69.23,92.90638,41,1.6,652.1,146
90,10,0,105,1,770,20,192,94.27,92.90638,41,1.6,652.1,146
90,10,0,105,2,770,20,175,81.14,92.90638,41,1.6,652.1,146
80,10,10,105,5,775,15,196.078431,86.73,18.998,9,3.98,1681,64
80,7,10,105,3,850,12,150,83.33,24.305,12,1.31,737.7,145
80,7,10,105,3,850,12,150,41.33,63.546,29,1.9,745.5,128
90,5,5,104,0.5,760,10,200,71.1,95.95,42,2.16,684.3,139
90,5,5,104,1,760,10,200,85.9,95.95,42,2.16,684.3,139
90,5,5,104,1.5,760,10,200,70.4,95.95,42,2.16,684.3,139
76,14,9,105,1,790,12,190,93.7,26.982,13,1.61,577.5,118
75,14,9,105,2,790,12,190,95,26.982,13,1.61,577.5,118
90,0,10,102,0.003,730,10,200,80,138.90547,57,1.1,538.1,187
83,5,12,105,1,730,12,140,93.4,92.90638,41,1.6,652.1,146
89.9,5,5,101,0.5,770,10,200,95,183.84,74,2.36,770,139
89.6,4.7,4.7,101,1,770,10,200,97.5,183.84,74,2.36,770,139
80,10,10,105,0.03,780,12,210,90.5,24.305,12,1.31,737.7,145
